REFERENCE,CHILD_DRIVE,BIRTHDAY,AGE,HOME_CHILDREN,JOB_TENURE,INCOME,HOME_VAL,MARITAL_STATUS,GENDER,EDUCATION,OCCUPATION,TRAVTIME,CAR_USE,CAR_COST,PTIF,CAR_TYPE,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CLM_AMT,CAR_AGE,CLAIM_FLAG,CITY_RURAL
386689370,2,15-Jul-60,39,3,17,"£173,533","£444,537",Yes,M,Masters,,36,Commercial,25210,10,Panel Truck,0,0,Yes,1,0,12,0,City
995983724,0,12-Sep-30,69,0,14,"£69,098","£253,508",Yes,M,Bachelors,Manager,57,Private,15310,4,SUV,0,0,No,3,0,11,0,City
694564429,0,22-Jun-64,35,2,0,£0,£0,Yes,F,<High School,Student,31,Private,4810,1,SUV,0,0,No,0,0,6,0,City
767746253,2,22-Apr-55,44,2,9,"£65,134","£239,994",Yes,M,Bachelors,z_Blue Collar,15,Commercial,12410,6,Minivan,0,0,No,0,0,,0,Rural
302914112,0,11-Feb-55,44,0,7,"£93,041","£274,300",Yes,M,Bachelors,z_Blue Collar,23,Commercial,15200,14,Minivan,16255,2,No,1,0,5,0,City
727384818,0,18-Nov-59,39,1,9,"£69,516","£204,266",Yes,F,Bachelors,Clerical,37,Private,11470,1,SUV,1392,2,No,4,0,13,0,Rural
716374232,0,28-Jun-43,56,0,15,"£126,700","£319,475",Yes,F,Masters,Lawyer,36,Private,23980,16,Pickup,0,0,Yes,4,0,11,0,City
349489914,0,15-Nov-40,59,0,14,,"£269,691",Yes,M,PhD,Manager,35,Commercial,16400,4,Van,0,0,No,0,0,14,0,City
105813423,1,02-Sep-58,41,3,5,"£30,043",£0,No,M,High School,Clerical,22,Private,16860,4,Van,0,0,No,0,0,1,0,City
305504579,1,24-Sep-42,57,2,15,"£34,116",£0,No,F,High School,Clerical,25,Private,10610,10,Sports Car,34041,3,Yes,1,5359,7,1,City
242000609,0,28-Sep-56,43,0,14,"£54,932","£226,581",Yes,M,High School,Clerical,36,Commercial,11290,4,Pickup,5076,3,No,5,0,1,0,City
305612736,0,18-Oct-57,42,0,8,"£94,591","£312,740",No,M,<High School,z_Blue Collar,21,Commercial,17470,6,Van,16121,3,Yes,3,3380,8,1,City
118339017,0,11-Dec-46,52,0,13,"£65,465","£208,330",No,M,Masters,Manager,42,Private,18760,1,Van,5372,3,No,6,0,10,0,City
662689878,0,24-Aug-53,46,0,14,"£56,849",£0,No,M,High School,z_Blue Collar,54,Commercial,6270,1,Pickup,6418,2,No,2,0,1,0,City
563040522,0,29-Oct-48,51,0,9,"£46,201","£196,360",Yes,M,High School,z_Blue Collar,33,Commercial,11220,4,Pickup,0,0,No,0,0,9,0,Rural
293369737,0,21-Jan-56,43,1,0,£0,£0,No,F,Masters,Home Maker,32,Private,13160,4,Sports Car,10412,1,No,6,0,13,0,City
678926910,0,07-Oct-47,52,0,14,"£125,662","£341,437",No,F,Masters,Lawyer,21,Private,22880,1,Minivan,0,0,No,0,0,16,0,City
105167366,0,13-Jul-56,43,3,15,"£102,262","£260,909",Yes,F,Masters,Lawyer,48,Private,15490,9,SUV,0,0,No,1,0,15,0,City
422147419,0,26-Dec-51,47,0,11,"£18,535","£135,322",Yes,F,Masters,Lawyer,48,Private,11750,1,Minivan,0,0,No,4,0,17,0,City
653240659,0,12-Nov-55,44,3,15,"£29,502","£142,365",Yes,F,<High School,Clerical,30,Private,28750,4,Minivan,37130,1,No,2,0,2,0,City
770197017,0,29-Oct-51,48,0,10,"£93,303","£295,050",Yes,M,Masters,Lawyer,30,Private,15630,9,Minivan,6031,3,No,5,0,1,0,City
939439584,0,27-Jun-66,33,0,11,£249,£0,No,F,High School,Student,30,Private,10590,11,SUV,0,0,No,1,4927,11,1,City
926619902,2,27-Jul-58,41,3,10,"£24,862",£0,No,F,Bachelors,Student,26,Private,7790,1,Sports Car,1055,4,No,2,4127,10,1,Rural
262104318,0,13-Jan-50,49,0,14,"£108,748","£319,170",Yes,F,<High School,z_Blue Collar,32,Private,21520,1,SUV,0,0,No,1,0,7,0,City
459023169,0,24-Sep-49,50,0,0,£0,"£114,553",Yes,F,High School,Home Maker,12,Private,6500,6,Sports Car,0,0,No,0,2834,,1,City
726219892,0,15-Oct-57,42,0,10,"£86,596","£255,887",Yes,M,Masters,Professional,32,Private,15280,10,Minivan,0,0,No,0,0,16,0,City
508339617,0,06-Dec-65,33,2,12,"£92,904","£264,233",No,F,Bachelors,z_Blue Collar,30,Commercial,14060,10,SUV,0,0,No,0,0,10,0,City
345344329,0,22-Feb-57,42,1,12,"£82,281",£0,No,F,Bachelors,z_Blue Collar,36,Commercial,18530,9,SUV,14552,1,No,6,0,10,0,Rural
249645278,0,03-May-58,41,3,11,,"£160,333",Yes,F,High School,Professional,35,Private,9170,6,SUV,0,0,No,0,5040,8,1,City
628164043,0,11-Jun-59,40,1,,"£63,400","£241,075",Yes,F,High School,Clerical,59,Private,27080,4,Minivan,0,0,No,0,0,,0,City
459685968,0,27-May-48,51,0,13,"£62,463","£265,421",Yes,F,Bachelors,z_Blue Collar,36,Commercial,19370,6,Minivan,1107,3,No,0,0,1,0,City
319394056,0,10-Jan-42,57,0,15,"£25,761","£151,169",Yes,M,Bachelors,Clerical,56,Private,11940,1,Pickup,4792,1,No,8,3782,11,1,City
411870556,0,27-Jun-57,42,0,11,"£49,224","£156,275",Yes,M,High School,z_Blue Collar,29,Commercial,27460,1,Minivan,4546,3,No,0,3498,1,1,City
957050266,0,17-Jan-53,46,0,10,"£41,083","£175,042",Yes,F,High School,z_Blue Collar,21,Commercial,12810,10,SUV,2520,2,No,4,0,10,0,City
338776264,1,24-Jul-43,56,2,17,,"£315,504",Yes,F,Bachelors,Professional,31,Private,28740,1,Minivan,0,0,No,1,0,6,0,City
730524072,0,20-Apr-47,52,0,12,"£70,293","£268,922",Yes,F,Bachelors,Professional,35,Private,33440,7,Pickup,0,0,No,0,0,6,0,City
94764565,0,03-Nov-61,38,1,9,"£34,319","£202,323",Yes,F,High School,Clerical,47,Private,13460,4,Minivan,0,0,No,1,0,1,0,City
271284833,0,30-Aug-56,43,0,13,"£22,623","£187,360",Yes,M,High School,Professional,15,Private,8060,1,Pickup,0,0,No,2,47795,1,1,City
414427246,0,27-Jul-59,40,1,13,"£79,715",£0,No,F,Bachelors,Clerical,6,Private,23140,10,Minivan,0,0,No,0,0,7,0,City
839070640,0,10-Dec-44,54,0,16,"£19,961","£69,939",Yes,F,High School,Home Maker,35,Private,3500,5,Sports Car,0,0,No,0,0,3,0,Rural
790543950,0,09-Sep-48,51,0,12,"£40,760","£189,947",No,M,Bachelors,Professional,24,Private,11880,1,Pickup,0,0,No,0,2054,8,1,City
317314544,0,02-Dec-71,27,2,11,"£68,493","£214,449",No,M,Bachelors,z_Blue Collar,22,Commercial,20180,1,Van,0,0,No,0,1954,5,1,City
728230622,0,06-Apr-43,56,0,12,£278,"£91,195",Yes,F,High School,Student,57,Commercial,26150,1,Pickup,49641,2,No,0,0,8,0,City
297255585,0,18-Oct-51,48,0,8,"£137,411","£394,813",No,M,Bachelors,z_Blue Collar,22,Commercial,11940,10,Pickup,0,0,No,0,0,4,0,City
849850677,0,21-Mar-52,47,0,,"£44,963","£162,882",Yes,M,Masters,Lawyer,33,Private,11610,5,Minivan,0,0,No,5,0,14,0,Rural
779818728,0,06-Jun-61,38,0,10,"£28,409",£0,No,M,High School,Clerical,27,Commercial,8140,10,Pickup,0,0,No,1,0,7,0,Rural
609195177,0,06-Nov-72,27,3,9,"£69,794",£0,No,F,Bachelors,Professional,24,Private,14660,4,SUV,2848,1,No,3,4382,6,1,City
992004739,0,17-Oct-66,33,1,11,"£25,544",£0,No,F,<High School,z_Blue Collar,29,Private,4050,1,Sports Car,3971,2,No,0,1736,1,1,City
126864927,1,23-Aug-57,42,2,15,"£85,408","£278,244",Yes,F,High School,z_Blue Collar,32,Commercial,20170,10,Minivan,697,2,No,0,4231,8,1,City
271625863,0,19-Oct-44,55,0,11,"£3,865",£0,No,F,<High School,Home Maker,27,Private,16600,1,SUV,6089,2,Yes,0,3457,1,1,City
632172083,0,30-Jun-49,50,0,13,"£94,589","£273,941",Yes,M,<High School,z_Blue Collar,8,Private,6500,11,Minivan,0,0,No,2,1438,1,1,City
474066345,0,07-Nov-51,48,0,10,"£116,063","£345,201",No,M,Bachelors,Manager,48,Commercial,8370,6,Pickup,0,0,No,1,0,8,0,City
756075815,0,03-Jun-66,33,1,0,£0,"£98,268",Yes,F,High School,Home Maker,41,Private,11980,1,SUV,0,0,No,0,0,9,0,Rural
845009116,0,02-Jul-46,53,0,12,"£16,536","£132,671",Yes,F,Bachelors,Home Maker,24,Private,3150,3,SUV,1335,2,No,0,0,6,0,City
270187595,0,08-Feb-41,58,0,0,£0,"£110,899",Yes,F,Bachelors,Home Maker,29,Private,8650,4,SUV,5240,4,No,0,0,12,0,City
399237836,0,10-Jan-56,43,0,7,"£58,112",£0,No,M,Bachelors,Clerical,34,Private,1500,4,Minivan,0,0,No,2,0,11,0,Rural
641381483,0,26-Oct-50,49,0,12,"£66,972",£0,No,M,High School,Professional,17,Private,24760,10,Minivan,6813,5,No,0,0,8,0,City
939976071,0,07-Dec-58,40,2,13,"£50,537","£192,692",Yes,F,High School,z_Blue Collar,39,Commercial,28960,1,Van,1613,1,No,2,1024,8,1,City
143078256,0,05-Jun-45,54,0,12,"£65,298","£214,931",Yes,F,High School,Clerical,5,Private,8030,17,SUV,4528,3,No,5,3774,1,1,City
450249244,0,28-Aug-61,38,2,11,"£282,292",£0,No,M,PhD,Lawyer,40,Private,33530,4,Minivan,0,0,No,4,0,17,0,Rural
437006760,0,29-Sep-50,49,0,13,"£83,569","£252,802",Yes,M,Bachelors,Manager,23,Private,6500,1,Pickup,44932,1,Yes,0,0,7,0,City
870837092,0,15-Oct-60,39,0,6,,£0,No,F,Masters,Lawyer,52,Private,12880,3,Minivan,0,0,Yes,0,6854,,1,Rural
92890623,1,02-Feb-62,37,2,9,"£54,349","£215,818",Yes,F,High School,Manager,28,Private,10630,13,SUV,1381,1,No,4,0,11,0,City
366520317,0,08-Aug-72,27,4,13,"£50,139","£170,678",Yes,F,High School,z_Blue Collar,22,Private,9210,1,SUV,1271,2,No,3,1849,1,1,City
958078219,0,17-Dec-50,48,0,14,"£74,597","£301,161",Yes,M,Bachelors,z_Blue Collar,25,Commercial,15730,4,Minivan,0,0,No,0,0,1,0,Rural
379228726,0,05-Feb-52,47,0,,"£92,543","£231,717",Yes,M,Masters,,53,Commercial,25250,6,Panel Truck,30450,2,Yes,4,8956,9,1,City
611621243,1,07-Aug-61,38,2,13,"£15,755","£110,814",Yes,F,<High School,z_Blue Collar,32,Commercial,14440,4,Minivan,1413,1,No,0,0,1,0,Rural
717396880,0,16-Feb-55,44,0,12,,£0,No,F,High School,z_Blue Collar,32,Commercial,10770,1,SUV,0,0,No,2,0,8,0,City
758151663,0,05-Feb-55,44,2,7,"£20,324","£145,274",Yes,F,High School,Clerical,20,Private,10280,1,Sports Car,0,0,No,0,0,1,0,Rural
788829442,0,08-Apr-53,46,0,12,"£5,420",£0,No,M,<High School,Student,28,Private,12780,1,Minivan,0,0,No,3,0,5,0,Rural
163220080,0,04-Mar-49,50,0,11,"£109,786","£345,179",Yes,F,High School,Professional,35,Private,9440,1,Minivan,0,0,No,0,0,8,0,City
405299333,2,13-Sep-62,37,3,11,"£159,092","£377,329",Yes,M,Bachelors,z_Blue Collar,29,Private,15050,6,Minivan,1927,3,No,0,0,8,0,Rural
665180201,0,06-Apr-75,24,1,13,"£23,109","£95,314",Yes,F,Bachelors,Clerical,34,Private,6210,14,SUV,5876,1,No,2,0,13,0,City
773942917,0,31-May-62,37,0,6,"£53,895","£162,745",Yes,M,Bachelors,Clerical,44,Commercial,11250,17,Pickup,0,0,No,0,5749,11,1,City
511494009,0,11-Apr-61,38,2,14,,"£150,418",Yes,F,High School,Clerical,41,Private,9450,6,SUV,1584,3,No,0,0,7,0,City
394138480,0,08-Nov-56,43,2,12,"£60,973",£0,No,F,Bachelors,z_Blue Collar,57,Commercial,5800,1,Sports Car,0,0,Yes,1,3387,8,1,City
363208227,0,14-May-53,46,0,8,,"£161,919",Yes,F,High School,z_Blue Collar,17,Commercial,10990,4,SUV,0,0,No,0,0,9,0,City
554270628,0,20-Nov-62,36,0,10,"£85,731",£0,No,F,Bachelors,z_Blue Collar,13,Commercial,21660,10,Pickup,4002,2,No,1,7061,3,1,City
814013916,0,13-Mar-49,50,0,12,"£34,703","£162,306",No,M,High School,z_Blue Collar,30,Commercial,9970,10,Minivan,651,3,No,2,0,6,0,City
481666327,0,15-Mar-68,31,0,3,"£57,017","£205,720",No,M,Masters,,45,Private,10870,6,Pickup,0,0,No,0,0,14,0,City
178129665,0,20-Nov-51,47,0,0,£0,£0,Yes,M,High School,Student,35,Commercial,11610,7,Pickup,19545,1,Yes,0,26831,1,1,Rural
997699984,1,15-Nov-57,42,2,11,"£14,166",£0,No,F,<High School,Student,36,Private,23280,6,Minivan,0,0,No,3,5820,5,1,City
711084452,0,24-Jun-55,44,2,9,"£66,069",£0,No,M,Bachelors,Manager,19,Commercial,22700,9,Panel Truck,5117,2,No,3,0,12,0,City
443183800,0,12-Dec-39,59,0,0,£0,"£113,512",Yes,F,Bachelors,Home Maker,53,Private,11480,10,SUV,0,0,Yes,2,0,12,0,Rural
710203983,0,05-Oct-59,40,2,15,"£36,846","£138,850",Yes,M,PhD,Manager,65,Private,9180,7,Pickup,2743,1,No,3,0,1,0,City
88627202,0,31-May-68,31,2,0,£0,£0,Yes,F,<High School,Student,48,Private,7740,4,Sports Car,7323,1,No,7,4254,1,1,City
534426680,0,08-Sep-59,40,0,11,"£164,807",£0,No,M,PhD,Doctor,22,Private,5500,1,Pickup,0,0,No,0,0,17,0,City
585452998,2,15-Mar-63,36,2,0,£0,"£111,891",Yes,F,High School,Home Maker,28,Private,5100,4,Minivan,39425,3,Yes,1,1849,9,1,City
323105809,0,07-Feb-45,54,0,12,"£77,267",£0,No,F,Bachelors,Manager,14,Private,14630,1,SUV,8395,2,No,0,0,9,0,City
161058138,0,23-Jun-54,45,0,11,,"£276,390",Yes,M,Masters,Lawyer,11,Private,14060,1,Minivan,0,0,No,0,0,9,0,City
527138960,0,03-Aug-41,58,0,0,£0,£0,Yes,M,High School,Student,29,Commercial,7300,4,Pickup,3485,3,No,8,0,1,0,Rural
726634120,0,31-May-60,39,0,0,£0,£0,No,F,High School,Student,52,Commercial,5500,1,Sports Car,0,0,No,0,0,8,0,Rural
983129972,0,15-Sep-53,46,0,12,"£3,929","£70,315",Yes,F,PhD,Home Maker,55,Private,1500,6,SUV,0,0,No,2,0,18,0,Rural
640966006,0,24-Dec-66,32,4,14,"£2,270",£0,Yes,M,<High School,Student,41,Private,1730,1,Minivan,0,0,Yes,1,0,8,0,City
214040951,1,20-Nov-41,57,2,0,£0,£0,Yes,M,High School,Student,30,Private,9240,1,Pickup,8336,2,Yes,5,2478,1,1,City
698704491,0,21-Jul-52,47,0,15,"£91,221","£260,710",Yes,F,Bachelors,z_Blue Collar,31,Commercial,1500,4,Sports Car,5385,2,No,2,457,7,1,City
344781057,0,04-Jun-55,44,2,12,"£6,035",£0,No,M,<High School,Student,29,Private,6500,10,Pickup,23949,1,Yes,6,0,1,0,City
746641102,0,15-Apr-55,44,0,10,"£146,338",£0,No,M,Masters,,21,Commercial,22620,1,Panel Truck,37211,3,Yes,3,4976,10,1,City
790738376,1,25-Mar-53,46,0,8,"£109,874","£321,547",Yes,M,Bachelors,z_Blue Collar,72,Private,19450,6,SUV,0,0,No,2,0,6,0,City
819469146,0,15-Sep-44,55,0,8,"£245,498",£0,No,M,PhD,,13,Commercial,33790,1,Panel Truck,7531,2,No,1,0,18,0,City
247830994,0,04-Jul-47,52,0,13,"£255,823",£0,No,F,PhD,Manager,54,Commercial,47030,6,Panel Truck,0,0,No,3,0,,0,City
236044172,0,09-Mar-56,43,2,7,"£33,703","£86,492",Yes,F,PhD,Home Maker,5,Private,19010,1,SUV,1159,3,No,0,0,9,0,City
18197959,0,07-Feb-47,52,0,11,"£12,363",£0,Yes,M,<High School,Clerical,42,Private,2740,13,Minivan,0,0,Yes,0,0,1,0,City
853551610,0,18-Dec-47,51,0,10,"£8,900","£80,818",Yes,F,High School,Home Maker,64,Private,11600,1,Minivan,0,0,No,1,0,1,0,Rural
962365648,0,13-Oct-52,47,0,12,"£47,235","£208,682",No,M,High School,z_Blue Collar,27,Private,10920,4,Pickup,9933,2,No,2,3341,1,1,City
416746837,0,07-Jan-47,52,0,10,"£27,019","£144,930",No,F,Bachelors,Professional,59,Private,9400,16,Sports Car,0,0,No,1,0,13,0,Rural
846741025,0,14-Aug-65,34,2,0,£0,£0,No,F,High School,Student,22,Private,11520,9,SUV,0,0,Yes,0,0,9,0,City
316861921,0,18-Apr-58,41,0,10,"£198,600","£457,435",Yes,F,PhD,Manager,5,Private,19480,6,SUV,0,0,No,2,0,12,0,City
489794163,0,04-Dec-50,48,0,10,"£7,302",£0,No,F,<High School,Student,27,Private,7030,10,SUV,3564,1,No,3,5816,1,1,City
655100096,0,26-Jul-32,67,0,15,"£2,558",£0,Yes,M,High School,Student,40,Commercial,1500,1,SUV,0,0,No,2,0,1,0,City
931284621,0,24-Sep-56,43,0,14,"£30,037","£163,867",Yes,M,<High School,z_Blue Collar,5,Private,11920,3,Pickup,25664,3,Yes,3,0,1,0,City
568743363,0,03-Nov-63,36,3,15,"£79,457","£209,712",No,F,Bachelors,Professional,34,Private,5100,1,SUV,0,0,No,1,1343,8,1,City
470253509,0,09-Sep-41,58,0,14,"£37,991",£0,No,F,High School,Manager,23,Private,14000,4,Sports Car,0,0,Yes,2,3942,1,1,City
779542452,0,05-Aug-62,37,1,12,"£64,020",£0,No,F,Bachelors,Professional,42,Private,15620,4,Minivan,0,0,No,1,0,10,0,City
307096281,0,24-Jan-55,44,0,11,"£108,412",£0,No,M,PhD,Doctor,47,Private,1500,1,Minivan,7859,1,No,0,0,18,0,City
279632339,0,05-Jun-48,51,0,7,"£94,082","£254,844",Yes,M,Bachelors,Manager,56,Private,15140,9,Minivan,0,0,No,2,0,9,0,City
427768498,0,11-Jan-71,28,2,9,"£54,005","£162,241",Yes,F,Bachelors,z_Blue Collar,45,Commercial,1500,1,Sports Car,0,0,No,0,0,7,0,Rural
141743339,0,15-Mar-49,50,0,12,"£26,748","£119,618",No,M,<High School,z_Blue Collar,25,Commercial,31770,6,Panel Truck,7808,3,No,2,0,6,0,City
482898358,0,27-Aug-55,44,0,12,"£92,673","£294,900",Yes,M,Masters,,20,Commercial,11020,10,Pickup,0,0,No,2,0,14,0,City
255731304,0,23-Nov-46,52,0,15,"£88,691","£281,174",Yes,M,Bachelors,z_Blue Collar,39,Private,18200,4,Van,1261,4,No,2,0,10,0,City
183697567,0,17-Jul-58,41,0,13,"£104,652","£281,046",Yes,M,Masters,Professional,25,Commercial,24660,9,Panel Truck,0,0,No,0,0,9,0,City
887149425,0,16-Nov-57,42,3,10,"£89,052","£212,665",Yes,F,Bachelors,z_Blue Collar,12,Commercial,15550,10,SUV,0,0,No,0,0,6,0,Rural
539729665,0,24-Jan-62,37,2,13,"£133,335",£0,No,F,Bachelors,z_Blue Collar,15,Commercial,21740,1,SUV,975,2,No,6,3900,13,1,City
214040951,1,20-Nov-40,58,2,17,"£3,272",£0,Yes,M,<High School,Student,42,Private,7200,1,Minivan,5086,2,No,2,3179,5,1,City
954212606,0,09-Jul-67,32,2,15,"£77,222",£0,Yes,M,High School,Professional,36,Private,12420,4,Minivan,0,0,No,2,0,9,0,Rural
968418547,0,07-Dec-60,38,2,14,"£58,833","£190,158",Yes,M,Bachelors,z_Blue Collar,40,Commercial,17680,1,Van,0,0,Yes,2,4620,10,1,City
524892923,1,30-Oct-57,42,3,13,"£58,797",£0,No,M,PhD,,5,Commercial,19980,4,Van,1310,2,No,4,0,23,0,City
895147164,1,13-Feb-57,42,2,10,"£32,526","£166,582",Yes,F,<High School,Clerical,38,Private,20150,1,Pickup,0,0,No,0,0,5,0,City
989577620,1,29-Aug-55,44,2,14,"£13,587","£131,563",Yes,F,High School,Home Maker,44,Private,7260,6,Sports Car,0,0,No,0,0,6,0,Rural
116202466,0,18-Nov-52,46,0,13,,"£142,986",Yes,M,High School,z_Blue Collar,49,Commercial,11700,1,Pickup,0,0,No,0,0,,0,Rural
272494372,3,07-Dec-54,44,3,12,"£24,197",£0,No,F,High School,z_Blue Collar,45,Commercial,3920,1,Sports Car,0,0,No,2,0,7,0,Rural
17347314,0,05-Feb-62,37,1,7,"£111,183","£314,817",No,F,Bachelors,Professional,68,Private,12420,10,Sports Car,0,0,No,0,0,8,0,City
981121505,0,08-Dec-53,45,0,14,"£65,466","£211,401",Yes,M,High School,z_Blue Collar,24,Commercial,7080,3,Pickup,0,0,No,2,0,1,0,City
1900527,0,11-May-51,48,0,14,"£48,866","£183,224",Yes,F,Bachelors,Professional,35,Private,26400,3,Pickup,0,0,No,0,0,8,0,City
837151081,0,04-Jun-27,72,0,16,"£63,890","£253,202",Yes,F,Masters,Lawyer,40,Private,9100,7,Sports Car,4448,3,No,0,921,6,1,City
552457945,0,04-Jul-47,52,0,14,"£207,687","£507,678",Yes,M,Masters,,26,Commercial,35160,1,Panel Truck,0,0,No,0,0,16,0,City
646710804,0,01-Feb-51,48,0,8,"£43,075","£178,320",Yes,F,High School,Manager,52,Private,13970,4,SUV,5878,2,No,3,0,11,0,City
974496106,0,18-Aug-59,40,0,9,"£5,253","£77,618",No,F,High School,Student,23,Commercial,23600,4,Pickup,0,0,No,0,9070,1,1,City
753512533,0,25-Jan-50,49,0,9,"£90,658","£276,580",No,F,Bachelors,z_Blue Collar,7,Commercial,12350,13,Minivan,0,0,No,0,0,7,0,City
99626436,0,10-Aug-37,62,0,15,"£37,018",£0,No,F,Bachelors,Professional,61,Private,5200,4,Sports Car,0,0,No,0,0,,0,City
675974391,0,25-Jul-54,45,0,13,"£32,722",£0,Yes,F,High School,Clerical,50,Private,4770,10,Sports Car,0,0,No,1,0,6,0,City
275306071,0,20-Apr-67,32,3,8,,"£194,727",No,F,Bachelors,Clerical,42,Private,7080,4,Sports Car,0,0,No,0,3775,11,1,City
82094250,0,25-Aug-57,42,0,9,"£54,178","£174,458",No,F,High School,z_Blue Collar,39,Commercial,5700,11,SUV,0,0,No,1,0,8,0,Rural
380988425,0,05-Jul-66,33,0,0,£0,£0,No,F,High School,Home Maker,31,Private,4900,4,Sports Car,1992,2,No,1,0,10,0,City
989066499,1,11-Jul-56,43,2,16,"£45,348","£199,830",Yes,F,High School,Clerical,16,Private,10330,1,Sports Car,0,0,No,1,0,1,0,City
904432751,0,07-Oct-42,57,0,14,"£200,772","£466,235",No,F,PhD,Doctor,27,Private,9270,1,SUV,0,0,No,0,4836,,1,City
560287212,0,29-Jun-77,22,0,,"£36,821","£196,275",No,F,Masters,,23,Private,29390,6,Pickup,8502,2,No,0,0,20,0,City
986046134,0,05-Jun-46,53,0,13,"£108,744","£333,039",Yes,M,Masters,,5,Commercial,5430,1,Pickup,3267,1,No,0,6486,,1,City
33286578,1,25-Nov-55,43,2,13,"£45,784","£163,073",Yes,M,<High School,z_Blue Collar,78,Commercial,14820,7,Minivan,0,0,No,0,0,6,0,City
958601721,0,19-Nov-51,47,0,10,"£114,507",£0,No,F,Masters,Lawyer,27,Private,6200,7,SUV,900,1,No,1,0,18,0,City
317439005,0,01-May-55,44,1,11,"£48,374","£212,806",Yes,M,High School,z_Blue Collar,48,Commercial,34640,1,Panel Truck,0,0,No,0,3913,8,1,City
435625221,0,02-Apr-49,50,0,11,,"£482,952",No,M,PhD,,12,Commercial,8300,7,Pickup,1161,2,No,8,0,20,0,City
827178489,0,23-Jun-51,48,0,13,"£70,682","£260,738",Yes,F,High School,z_Blue Collar,26,Commercial,13370,3,Minivan,11976,2,No,5,0,1,0,City
499348624,0,24-Jan-57,42,0,10,,"£51,709",Yes,F,<High School,Home Maker,41,Private,7340,1,Sports Car,0,0,No,0,0,9,0,City
194669970,0,10-Nov-48,51,0,,"£40,862",£0,No,M,Bachelors,Professional,14,Commercial,30800,14,Panel Truck,3919,3,No,4,0,11,0,City
741358574,0,24-Mar-67,32,1,8,"£63,720",£0,No,M,Bachelors,Professional,21,Commercial,18010,3,Van,39833,2,Yes,6,0,9,0,City
348128429,0,10-Nov-49,50,0,14,"£30,795","£171,282",Yes,M,High School,Clerical,54,Commercial,8920,6,Pickup,0,0,No,0,0,1,0,Rural
317842701,0,25-Jun-47,52,0,12,"£188,148",£0,No,F,PhD,Lawyer,19,Private,6700,4,Sports Car,0,0,No,0,0,11,0,City
969347793,0,22-Feb-58,41,0,10,"£19,816","£144,904",Yes,M,<High School,Clerical,37,Private,11590,6,Minivan,0,0,No,0,0,5,0,Rural
729507050,0,05-Jun-60,39,0,5,"£123,064","£302,964",No,F,High School,z_Blue Collar,7,Commercial,5400,1,SUV,0,0,No,2,0,10,0,Rural
590272679,0,06-Mar-72,27,0,8,,£0,No,F,<High School,z_Blue Collar,35,Commercial,24340,1,Pickup,4599,1,No,2,2621,4,1,City
469933313,0,21-Apr-46,53,0,12,"£48,587",£0,No,M,High School,z_Blue Collar,61,Commercial,19300,6,Van,4390,3,No,3,6011,6,1,City
631474711,0,22-Jan-51,48,0,10,"£27,208",£0,No,F,High School,Student,63,Private,10150,6,SUV,18535,1,No,3,0,7,0,City
363479465,0,01-Aug-47,52,0,13,"£152,004","£406,995",Yes,F,Masters,Lawyer,29,Private,6700,11,SUV,0,0,No,0,0,1,0,Rural
482073984,0,20-Oct-61,38,0,10,"£106,267",£0,No,M,Bachelors,Professional,36,Private,14810,1,Minivan,0,0,No,0,0,,0,City
640048389,0,18-Feb-46,53,0,14,"£47,625","£162,713",Yes,M,<High School,z_Blue Collar,53,Private,15780,9,Minivan,8386,1,No,4,0,6,0,City
974496106,0,18-Aug-59,40,0,9,"£5,253","£77,773",No,F,High School,Student,23,Commercial,8140,18,Sports Car,0,0,No,3,0,1,0,City
494552963,0,13-Aug-50,49,0,7,"£173,242","£417,571",Yes,F,PhD,Manager,40,Private,6400,10,SUV,0,0,Yes,0,0,20,0,City
992666577,0,04-Jan-40,59,0,0,£0,£0,No,M,Bachelors,Home Maker,41,Commercial,30430,6,Panel Truck,1511,1,No,0,0,9,0,City
756075815,0,03-Jun-65,34,1,14,"£5,017",£0,Yes,F,High School,Home Maker,75,Private,8220,4,SUV,0,0,No,1,0,9,0,Rural
52463713,0,20-May-47,52,0,12,"£78,609","£280,795",No,M,Bachelors,Professional,37,Private,18910,1,Van,0,0,No,0,0,11,0,Rural
925791877,0,12-Mar-64,35,0,11,"£85,430",£0,No,F,Bachelors,z_Blue Collar,14,Commercial,13540,1,SUV,8062,2,No,2,22444,1,1,City
484650249,0,03-Sep-53,46,0,13,"£161,372",£0,No,F,Masters,Lawyer,36,Private,22240,6,SUV,6724,2,No,4,0,9,0,City
318742437,0,19-Sep-43,56,0,15,"£134,166","£321,006",Yes,F,Masters,Manager,45,Private,20520,6,Minivan,0,0,No,0,0,12,0,City
653931565,0,02-Mar-51,48,0,11,"£81,084",£0,No,F,Bachelors,Professional,42,Private,27360,1,Sports Car,2860,1,No,4,61690,9,1,City
389457553,0,04-Jun-63,36,0,12,"£204,373",£0,Yes,M,PhD,,20,Commercial,5100,6,Pickup,3423,3,No,0,2754,20,1,City
568406779,0,01-Apr-69,30,3,14,"£40,889","£146,743",Yes,F,High School,Clerical,28,Private,29990,3,Minivan,0,0,No,0,0,1,0,Rural
